#Aplicación presupuestaria,Funcional,Economico,Desc. Funcional,Desc. Economico,Proyecto,Desc. Proyecto,Suma Cons. inicial,Suma Modificaciones,Suma Cons. definitiva,Suma O
2009,4312,212,Agencia de l'habitatge,Edificis i altres constru,,,0,1594.77,1594.77,1594.77
2009,4314,227,Pla especial rehabilitaci,Treballs altres empreses,,,0,1214320.81,1214320.81,507336.25
2009,4320,120,Urbanisme,Retribucions basiques,,,89296.2,-34191.39,55104.81,73639.86
2009,4320,121,Urbanisme,Retribuc. complementaries,,,117143.64,780.56,117924.2,99387.72
2009,4320,226,Urbanisme,Despeses diverses,,,5500,-1674.68,3825.32,5561.21
2009,4320,227,Urbanisme,Treballs altres empreses,,,6000,8269.32,14269.32,6201.97
2009,4320,622,Urbanisme,Edificis i altres constr.,,,0,558500,558500,169675.98
2009,4320,611,Urbanisme,Altres inversions reposic,908,MOBILIARI URBÀ I SENYALS.,15000,50833.65,65833.65,20349.39
2009,4320,627,Urbanisme,projectes complexos,922,PROJECTES I DIRECCIO OBRA,185000,183478.22,368478.22,212415.78
2009,4321,626,Obres,Equips per porc. informac,921,CONVENI CARTOGRAFIA.,7315,0,7315,0
2009,4322,622,Urbanisme i Arquitectura,Edificis i altres constr.,912,EDIFICI MULTIFUNCIONAL.,764912.7,0,764912.7,0
2009,4323,210,Senyalit. vert. i horitz,Infrast. i bens naturals,,,0,1,1,0
2009,4340,120,Enllumenat Públic,Retribucions basiques,,,42153.86,-153.63,42000.23,39703.3
2009,4340,121,Enllumenat Públic,Retribuc. complementaries,,,56615.25,1030.15,57645.4,59584.34
2009,4340,210,Enllumenat Públic,Infrast. i bens naturals,,,6000,11241.87,17241.87,19308.04
2009,4340,213,Enllumenat Públic,Maquinaria inst i utillat,,,20000,-21886.29,-1886.29,3630.05
2009,4340,221,Enllumenat Públic,Subministres,,,115000,0,115000,107417.09
2009,4351,120,Parcs i Jardins,Retribucions basiques,,,48362.58,-8502.88,39859.7,31092.6
2009,4351,121,Parcs i Jardins,Retribuc. complementaries,,,53797.89,7899.32,61697.21,37417.53
2009,4351,130,Parcs i Jardins,Personal Laboral fixe,,,0,0,0,33046.78
2009,4351,210,Parcs i Jardins,Infrast. i bens naturals,,,90000,32592.47,122592.47,139531.5
2009,4351,221,Parcs i Jardins,Subministres,,,3500,0,3500,1510.25
2009,4351,226,Parcs i Jardins,Despeses diverses,,,15000,0,15000,0
2009,4351,610,Parcs i Jardins,Inversions en terrenys,,,0,366.56,366.56,366.56
2009,4351,601,Parcs i Jardins,Altres inversions,902,JOCS INFANTILS.AD.NORMAT.,1,1269.98,1270.98,1269.98
2009,4352,611,Parcs i Jardins,Altres inversions reposic,,,0,308788.14,308788.14,278822.07
2009,4410,120,Servei d'Aigua Potable,Retribucions basiques,,,21808.08,0,21808.08,21868.76
2009,4410,121,Servei d'Aigua Potable,Retribuc. complementaries,,,27108.05,60.83,27168.88,27108.2
2009,4411,210,Clavegueram i Vessam.Aigu,Infrast. i bens naturals,,,2500,92494.54,94994.54,81741.56
2009,4413,210,Font del Manano,Infrast. i bens naturals,,,1000,0,1000,49.27
2009,4420,227,Recollida Fem i Net.viari,Treballs altres empreses,,,775000,161753.13,936753.13,936753.13
2009,4420,622,Recollida Fem i Net.viari,Edificis i altres constr.,913,NAU SERVEIS MUNICIPALS.,125000,-125000,0,0
2009,4422,464,Tractament Residus Solids,A arees metropolitanes,,,350613.77,-233856.76,116757.01,116082.89
2009,4424,464,Cancel.lació deute EMTRE,A arees metropolitanes,,,0,355532.83,355532.83,355532.83
2009,4430,120,Cementeri Municipal,Retribucions basiques,,,17020.92,0,17020.92,20600.53
2009,4430,121,Cementeri Municipal,Retribuc. complementaries,,,21755.96,9972.89,31728.85,28149.24
2009,4430,212,Cementeri Municipal,Edificis i altres constru,,,6000,10505.37,16505.37,16466.37
2009,4430,221,Cementeri Municipal,Subministres,,,1500,0,1500,1482.12
2009,4430,622,Cementeri Municipal,Edificis i altres constr.,914,CONSTRUCCIÓ NINXOLS.,1,4752.23,4753.23,0
2009,4430,632,Cementeri Municipal,Inv. rep. edificis i cons,925,COBERTES PAVELLONS CEMENT,1,17734.35,17735.35,17735.35
2009,4440,120,Vies Públiques,Retribucions basiques,,,9574.32,0,9574.32,0
2009,4440,121,Vies Públiques,Retribuc. complementaries,,,9878.88,780.56,10659.44,0
2009,4440,130,Vies Públiques,Personal Laboral fixe,,,0,0,0,20220.15
2009,4440,210,Vies Públiques,Infrast. i bens naturals,,,42000,38908.7,80908.7,76286.4
2009,4440,213,Vies Públiques,Maquinaria inst i utillat,,,5000,0,5000,4173.02
2009,4440,214,Vies Públiques,Material de transport,,,5000,4583.16,9583.16,10588.96
2009,4440,611,Vies Públiques,Altres inversions reposic,909,ASFALTAT CARRERS I CAMINS,1,45805.72,45806.72,35805.72
2009,4440,623,Vies Públiques,"Maquinaria, Inst. i Utill",917,ADQUISICIO MATERIAL OBRES,5000,0,5000,0
2009,4441,120,Brigada Vies i Obres,Retribucions basiques,,,70006.44,-17501.51,52504.93,22892.24
2009,4441,121,Brigada Vies i Obres,Retribuc. complementaries,,,76037.52,3136.98,79174.5,24658.53
2009,4441,130,Brigada Vies i Obres,Personal Laboral fixe,,,0,0,0,64230.97
2009,4441,131,Brigada Vies i Obres,Personal Laboral eventual,,,9132.5,0,9132.5,29030.19
2009,4441,204,Brigada Vies i Obres,Material de transport,,,19000,-2376.84,16623.16,6556.38
2009,4442,213,Obres i Serveis,Maquinaria inst i utillat,,,0,0,0,257.84
2009,4442,221,Obres i Serveis,Subministres,,,18000,10136.14,28136.14,27878.3
2009,4460,120,Medi Ambient,Retribucions basiques,,,19947.76,0,19947.76,19948.32
2009,4460,121,Medi Ambient,Retribuc. complementaries,,,24949.91,0,24949.91,24949.78
2009,4460,131,Medi Ambient,Personal Laboral eventual,,,16074.67,0,16074.67,15536.41
2009,4460,226,Medi Ambient,Despeses diverses,,,20000,7441,27441,31935.85
2009,4460,227,Medi Ambient,Treballs altres empreses,,,10000,9989.07,19989.07,15494.22
2009,4461,226,Zones Degradades,Despeses diverses,,,1500,-1500,0,0
2009,4461,621,Zones Degradades,Terrenys i bens naturals,910,RESTAURACIO ZONES.,6000,0,6000,0
2009,4470,120,O.M.I.C.,Retribucions basiques,,,13251.14,0,13251.14,13251.14
2009,4470,121,O.M.I.C.,Retribuc. complementaries,,,13523.64,0,13523.64,13523.58
2009,4470,226,O.M.I.C.,Despeses diverses,,,3500,0,3500,313.2
2009,4480,212,Mercat Municipal,Edificis i altres constru,,,4000,0,4000,2531.75
2009,4480,221,Mercat Municipal,Subministres,,,5000,0,5000,3905.59
2009,4480,227,Mercat Municipal,Treballs altres empreses,,,0,6645.4,6645.4,3322.7
2009,4510,120,Biblioteques i Arxius,Retribucions basiques,,,53424.7,-30652.06,22772.64,28858.63
2009,4510,121,Biblioteques i Arxius,Retribuc. complementaries,,,57140.85,0,57140.85,30306.41
2009,4510,130,Biblioteques i Arxius,Personal Laboral fixe,,,0,0,0,19860.74
2009,4510,202,Biblioteques i Arxius,Edificis i altres constru,,,21317,0,21317,20496.96
2009,4510,212,Biblioteques i Arxius,Edificis i altres constru,,,1000,0,1000,398.2
2009,4510,222,Biblioteques i Arxius,Comunicacions,,,0,0,0,0
2009,4510,226,Biblioteques i Arxius,Despeses diverses,,,6000,0,6000,5729.14
2009,4510,227,Biblioteques i Arxius,Treballs altres empreses,,,0,7487.7,7487.7,3743.85
2009,4511,226,Campanya Animació lectura,Despeses diverses,,,1600,0,1600,1308.47
2009,4511,627,Campanya Animació lectura,projectes complexos,923,ADQUISICIÓ LLIBRES I CD'S,5000,6750.96,11750.96,11699.55
2009,4512,226,Projectes cultur. Europeu,Despeses diverses,,,2000,16387.03,18387.03,15239.46
2009,4512,481,Projectes cultur. Europeu,"Premis, beques estudis",,,0,6021,6021,5215.61
