#Aplicación presupuestaria,Programa,Económico,Desc. programa,Desc. económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2012.0.0.1700.0.121,1700,121,Medi ambient,Retribucions complementar,,,25164.3,-119.82,25044.48,23247.03
2012.0.0.1700.0.160,1700,160,Medi ambient,Quotes socials,,,13575.69,-3516.62,10059.07,10059.07
2012.0.0.1710.0.120,1710,120,Parcs i Jardins,Retribucions bàsiques,,,30244.12,,30244.12,26724.39
2012.0.0.1710.0.121,1710,121,Parcs i Jardins,Retribucions complementar,,,35020.58,,35020.58,33848.04
2012.0.0.1710.0.160,1710,160,Parcs i Jardins,Quotes socials,,,20232.06,959.27,21191.33,21322.57
2012.0.0.1710.0.210,1710,210,Parcs i Jardins,Rep mment.conser.Infrastr,,,87292.04,-9935.82,77356.22,86119.67
2012.0.0.1710.0.221,1710,221,Parcs i Jardins,Subministres,,,2000.0,,2000.0,
2012.0.0.1710.0.226,1710,226,Parcs i Jardins,Despeses diverses,,,8000.0,,8000.0,954.5
2012.0.0.1720.0.226,1720,226,Protec. millora medi ambi,Despeses diverses,,,3000.0,,3000.0,
2012.0.0.1720.0.227,1720,227,Protec. millora medi ambi,Treb.real.altres empreses,,,5045.97,-1499.67,3546.3,6296.87
2012.0.0.2210.0.163,2210,163,Personal actiu,Despes. soc.-Prev riscos,,,10596.99,,10596.99,9454.07
2012.0.0.2210.0.227,2210,227,Personal actiu,Treb.real.altres empreses,,,,2890.39,2890.39,2890.39
2012.0.0.2210.0.830,2210,830,Personal actiu,Préstamos a corto plazo. Desarrollo por sectores,,,1.0,,1.0,
2012.0.0.2211.0.161,2211,161,Segur. protec. i prom.soc,Prestacions socials,,,,908.8,908.8,3111.4
2012.0.0.2211.0.162,2211,162,Segur. protec. i prom.soc,Despeses socials,,,6106.11,1263.99,7370.1,4890.0
2012.0.0.2300.0.120,2300,120,Assitència Social,Retribucions bàsiques,,,56758.88,2082.74,58841.62,44329.7
2012.0.0.2300.0.121,2300,121,Assitència Social,Retribucions complementar,,,65608.97,,65608.97,49935.84
2012.0.0.2300.0.130,2300,130,Assitència Social,Personal laboral fix,,,,,,20451.03
2012.0.0.2300.0.160,2300,160,Assitència Social,Quotes socials,,,37934.03,,37934.03,36464.81
2012.0.0.2300.0.226,2300,226,Assitència Social,Despeses diverses,,,1000.0,,1000.0,
2012.0.0.2311.0.480,2311,480,Acció Social,Ajudes indiv i atenc bene,,,40000.0,,40000.0,1007.45
2012.0.0.2311.0.489,2311,489,Acció Social,Aportacions i subvencions,,,5000.0,,5000.0,4000.0
2012.0.0.2312.0.227,2312,227,Serveis soc. i prom.socia,Treb.real.altres empreses,,,838.83,,838.83,
2012.0.0.2317.0.480,2317,480,Menjador social,Ajudes indiv i atenc bene,,,3600.0,,3600.0,3600.0
2012.0.0.2320.0.226,2320,226,Departament de la Dona,Despeses diverses,,,1000.0,,1000.0,260.0
2012.0.0.2321.0.202,2321,202,Centre dia per a menors,Arrendament edifici,,,8600.0,-583.59,8016.41,6217.92
2012.0.0.2321.0.226,2321,226,Centre dia per a menors,Despeses diverses,,,3000.0,,3000.0,947.71
2012.0.0.2322.0.120,2322,120,Educador de Carrer,Retribucions bàsiques,,,16182.1,,16182.1,12874.07
2012.0.0.2322.0.121,2322,121,Educador de Carrer,Retribucions complementar,,,17705.66,,17705.66,17762.78
2012.0.0.2322.0.130,2322,130,Educador de Carrer,Personal laboral fix,,,18274.93,,18274.93,15361.38
2012.0.0.2322.0.131,2322,131,Educador de Carrer,Personal Laboral eventual,,,58565.01,,58565.01,55335.44
2012.0.0.2322.0.160,2322,160,Educador de Carrer,Quotes socials,,,35496.89,,35496.89,34457.96
2012.0.0.2322.0.226,2322,226,Educador de Carrer,Despeses diverses,,,2000.0,,2000.0,300.0
2012.0.0.2323.0.226,2323,226,Prevenció Drogodependenc.,Despeses diverses,,,3000.0,,3000.0,
2012.0.0.2324.0.226,2324,226,Pau i Solidaritat:Immigra,Despeses diverses,,,1000.0,,1000.0,
2012.0.0.2330.0.227,2330,227,Asistència domiciliaria,Treb.real.altres empreses,,,18000.0,,18000.0,13828.47
2012.0.0.2331.0.120,2331,120,Ajuda a la dependència,Retribucions bàsiques,,,,,,18941.53
2012.0.0.2331.0.121,2331,121,Ajuda a la dependència,Retribucions complementar,,,,,,15607.85
2012.0.0.2331.0.131,2331,131,Ajuda a la dependència,Personal Laboral eventual,,,36898.86,,36898.86,
