#Aplicación presupuestaria,Programa,Económico,Desc. programa,Desc. económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2013.0.0.1650.1306.611,1650,611,Enllumenat Públic,Inversio reposicio infrae,1306,Pla Efi.Ener.En.P.Diputac,,159964.42,159964.42,159964.42
2013.0.0.1650.1309.611,1650,611,Enllumenat Públic,Inversio reposicio infrae,1309,Pla Efi.Ener.E.P.PPOS13,,79982.21,79982.21,79982.21
2013.0.0.1650.1314.611,1650,611,Enllumenat Públic,Inversio reposicio infrae,1314,Conveni Efici.Energet DIP,,240000.0,240000.0,
2013.0.0.1700.0.120,1700,120,Medi ambient,Retribucions bàsiques,,,18628.26,,18628.26,18825.17
2013.0.0.1700.0.121,1700,121,Medi ambient,Retribucions complementar,,,25164.3,,25164.3,25164.3
2013.0.0.1700.0.160,1700,160,Medi ambient,Quotes socials,,,13575.69,739.39,14315.08,10626.6
2013.0.0.1710.0.120,1710,120,Parcs i Jardins,Retribucions bàsiques,,,30244.12,,30244.12,24467.35
2013.0.0.1710.0.121,1710,121,Parcs i Jardins,Retribucions complementar,,,35020.58,-13333.33,21687.25,30390.28
2013.0.0.1710.0.160,1710,160,Parcs i Jardins,Quotes socials,,,20232.06,,20232.06,14164.04
2013.0.0.1710.0.210,1710,210,Parcs i Jardins,Rep mment.conser.Infrastr,,,87292.04,,87292.04,93709.43
2013.0.0.1710.0.221,1710,221,Parcs i Jardins,Subministres,,,2000.0,,2000.0,100.0
2013.0.0.1710.0.226,1710,226,Parcs i Jardins,Despeses diverses,,,8000.0,,8000.0,
2013.0.0.1720.0.226,1720,226,Protec. millora medi ambi,Despeses diverses,,,3000.0,2090.88,5090.88,5135.81
2013.0.0.1720.0.227,1720,227,Protec. millora medi ambi,Treb.real.altres empreses,,,5045.97,638.0,5683.97,5456.0
2013.0.0.2210.0.163,2210,163,Personal actiu,Despes. soc.-Prev riscos,,,10596.99,,10596.99,8853.7
2013.0.0.2210.0.227,2210,227,Personal actiu,Treb.real.altres empreses,,,,3100.0,3100.0,2390.0
2013.0.0.2210.0.830,2210,830,Personal actiu,Préstamos a corto plazo. Desarrollo por sectores,,,1.0,,1.0,
2013.0.0.2211.0.162,2211,162,Segur. protec. i prom.soc,Despeses socials,,,6106.11,,6106.11,554.8
2013.0.0.2300.0.120,2300,120,Assitència Social,Retribucions bàsiques,,,56758.88,,56758.88,48793.23
2013.0.0.2300.0.121,2300,121,Assitència Social,Retribucions complementar,,,65608.97,,65608.97,54721.23
2013.0.0.2300.0.130,2300,130,Assitència Social,Personal laboral fix,,,,,,20024.81
2013.0.0.2300.0.150,2300,150,Assitència Social,Complement Productivitat,,,,,,406.05
2013.0.0.2300.0.160,2300,160,Assitència Social,Quotes socials,,,37934.03,1502.59,39436.62,35716.4
2013.0.0.2300.0.226,2300,226,Assitència Social,Despeses diverses,,,1000.0,,1000.0,13.94
2013.0.0.2311.0.480,2311,480,Acció Social,Ajudes indiv i atenc bene,,,40000.0,-7500.0,32500.0,12148.0
2013.0.0.2311.0.489,2311,489,Acció Social,Aportacions i subvencions,,,5000.0,,5000.0,5000.0
2013.0.0.2312.0.227,2312,227,Serveis soc. i prom.socia,Treb.real.altres empreses,,,838.83,,838.83,
2013.0.0.2317.0.480,2317,480,Menjador social,Ajudes indiv i atenc bene,,,3600.0,,3600.0,3600.0
2013.0.0.2320.0.226,2320,226,Departament de la Dona,Despeses diverses,,,1000.0,,1000.0,
2013.0.0.2321.0.202,2321,202,Centre dia per a menors,Arrendament edifici,,,8600.0,,8600.0,6217.92
2013.0.0.2321.0.226,2321,226,Centre dia per a menors,Despeses diverses,,,3000.0,,3000.0,2545.9
2013.0.0.2322.0.120,2322,120,Educador de Carrer,Retribucions bàsiques,,,16182.1,,16182.1,16311.76
2013.0.0.2322.0.121,2322,121,Educador de Carrer,Retribucions complementar,,,17705.66,,17705.66,17705.66
2013.0.0.2322.0.130,2322,130,Educador de Carrer,Personal laboral fix,,,18274.93,,18274.93,16351.9
2013.0.0.2322.0.131,2322,131,Educador de Carrer,Personal Laboral eventual,,,58565.01,,58565.01,57956.7
2013.0.0.2322.0.160,2322,160,Educador de Carrer,Quotes socials,,,35496.89,1130.57,36627.46,35832.44
2013.0.0.2322.0.226,2322,226,Educador de Carrer,Despeses diverses,,,2000.0,1080.0,3080.0,2071.6
2013.0.0.2323.0.226,2323,226,Prevenció Drogodependenc.,Despeses diverses,,,3000.0,,3000.0,
2013.0.0.2324.0.226,2324,226,Pau i Solidaritat:Immigra,Despeses diverses,,,1000.0,,1000.0,
2013.0.0.2330.0.227,2330,227,Asistència domiciliaria,Treb.real.altres empreses,,,18000.0,-1080.0,16920.0,11555.26
2013.0.0.2331.0.120,2331,120,Ajuda a la dependència,Retribucions bàsiques,,,,,,13504.12
2013.0.0.2331.0.121,2331,121,Ajuda a la dependència,Retribucions complementar,,,,,,11224.78
2013.0.0.2331.0.131,2331,131,Ajuda a la dependència,Personal Laboral eventual,,,36898.86,,36898.86,
2013.0.0.2331.0.160,2331,160,Ajuda a la dependència,Quotes socials,,,11713.97,,11713.97,7935.96
2013.0.0.2410.0.120,2410,120,Escoles Taller,Retribucions bàsiques,,,,78702.64,78702.64,78702.64
2013.0.0.2410.1311.120,2410,120,Escoles Taller,Retribucions bàsiques,1311,4ª fase E.T.,,106848.0,106848.0,79424.29
